PLAYER,PTS
LeBRON JAMES,42069
Kareem Abdul-Jabbar,38387
Karl Malone,36928
Kobe Bryant,33643
Michael Jordan,32292
Dirk Nowitzki,31560
Wilt Chamberlain,31419
KEVIN DURANT,30571
Shaquille O'Neal,28596
Carmelo Anthony,28289
